coments_count,date,external_id,likes_count,has_my_like,text
12,1547688385,1001,134,1,"Why don't skeletons fight each other? They don't have the guts."
8,1547689000,1002,1180,0,"I'm reading a book about anti-gravity. It's impossible to put down!"
15,1547690000,1003,1310,1,"Why did the scarecrow win an award? Because he was outstanding in his field!"
4,1547692000,1004,1195,0,"I told my wife she should embrace her mistakes. She gave me a hug."
10,1547695000,1005,1202,1,"Parallel lines have so much in common. It’s a shame they’ll never meet."
6,1547697000,1006,1145,0,"Why can't your nose be 12 inches long? Because then it would be a foot."
11,1547700000,1007,1276,1,"What do you call fake spaghetti? An impasta!"
9,1547702000,1008,1190,0,"I used to play piano by ear, but now I use my hands."
7,1547704000,1009,1170,1,"Why was the math book sad? It had too many problems."
5,1547706000,1010,1135,0,"I told my computer I needed a break, and now it won’t stop sending me vacation ads."
